"variable","year","value","units","source"
"CO2_concentration",1877,288.41708,"ppmv CO2","cmip7"
"CO2_concentration",1878,288.6245,"ppmv CO2","cmip7"
"CO2_concentration",1879,288.84677,"ppmv CO2","cmip7"
"CO2_concentration",1880,289.08435,"ppmv CO2","cmip7"
"CO2_concentration",1881,289.344,"ppmv CO2","cmip7"
"CO2_concentration",1882,289.62625,"ppmv CO2","cmip7"
"CO2_concentration",1883,289.91943,"ppmv CO2","cmip7"
"CO2_concentration",1884,290.21768,"ppmv CO2","cmip7"
"CO2_concentration",1885,290.52563,"ppmv CO2","cmip7"
"CO2_concentration",1886,290.85428,"ppmv CO2","cmip7"
"CO2_concentration",1887,291.1866,"ppmv CO2","cmip7"
"CO2_concentration",1888,291.54547,"ppmv CO2","cmip7"
"CO2_concentration",1889,291.8928,"ppmv CO2","cmip7"
"CO2_concentration",1890,292.25064,"ppmv CO2","cmip7"
"CO2_concentration",1891,292.60403,"ppmv CO2","cmip7"
"CO2_concentration",1892,292.9522,"ppmv CO2","cmip7"
"CO2_concentration",1893,293.29785,"ppmv CO2","cmip7"
"CO2_concentration",1894,293.62997,"ppmv CO2","cmip7"
"CO2_concentration",1895,293.96564,"ppmv CO2","cmip7"
"CO2_concentration",1896,294.29776,"ppmv CO2","cmip7"
"CO2_concentration",1897,294.62247,"ppmv CO2","cmip7"
"CO2_concentration",1898,294.94858,"ppmv CO2","cmip7"
"CO2_concentration",1899,295.2918,"ppmv CO2","cmip7"
